Auto,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,?,Echtzeit Büro,Echtzeit Büro.1,Echtzeit Büro.2,Auto. ,Auto. .1,Echtzeit Büro.3,Auto.1,Unnamed: 23
KW,Geplantes Ankunftsdatum,Ist Datum,"Timeslot getroffen 
(Ja / Nein)",SCI,Lenkzeit,Destination City,Trailer,LS Nummern,Status Auftrag fertig fürs Lager,Nachträgliche Änderugen (Ja/Nein),Status Verladung,ATTP Portal Status ,SCI OTM,Anzahl verladene Positionen laut Lieferschein (ingesamt),Geplante Ladezeit,Ankunft Office,Verladung gestartet ,Verladung beendet ,Wartezeit bis Verladebeginn ,Verladungszeit,Loaded at Bayreuth (Documents finished),"On time innerhalb 2,5 Std. (Automatisch berechnet) ",Bemerkungen
nn,dd.mm.yy,dd.mm.yy,Auswahlliste,1000xxxxx,in Minuten,Schreibe,Schreibe,Schreibe,Auswahlliste,Auswahlliste,Auswahlliste,soll 80,ok,nn,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,Schreibe
1,2024-01-03 00:00:00,2024-01-03 00:00:00,ja,,540,SUPER-DEPOT 6,BTST9353,Schkeuditz / Leipzig 3,,,Verladen + PGI,,,26,20:00:00,19:45:00,19:55:00,20:10:00,00:10:00,00:15:00,20:15:00,00:30:00,
1,2024-01-03 00:00:00,2024-01-03 00:00:00,nein,1000448469,240,Duisburg 3,6E98146,3202617906 / 3202617907,Erledigt,,Verladen + PGI,80,ok,34,10:00:00,11:35:00,12:00:00,12:20:00,00:25:00,00:20:00,12:25:00,00:50:00,
1,2024-01-03 00:00:00,2024-01-03 00:00:00,,1000448474,,Großbeeren 2,6E98059,,,,Verschoben,,,,11:00:00,,,,00:00:00,00:00:00,,00:00:00,
1,2024-01-03 00:00:00,2024-01-03 00:00:00,,1000448728,,Hamburg 2,7E09706,,,,Verschoben,,,,11:00:00,,,,00:00:00,00:00:00,,00:00:00,
1,2024-01-04 00:00:00,2024-01-04 00:00:00,nein,,540,SUPER-DEPOT 1,BTST9352,Gärtringen / Stuttgart 1,,,Verladen + PGI,,,21,16:00:00,14:10:00,16:00:00,16:40:00,01:50:00,00:40:00,16:45:00,02:35:00,Muss Leerpaletten im LC Abladen 502 ST
1,2024-01-04 00:00:00,2024-01-04 00:00:00,nein,,540,SUPER-DEPOT 2,BTST9359,Gärtringen / Stuttgart 2,,,Verladen + PGI,,,26,17:00:00,15:30:00,16:35:00,17:10:00,01:05:00,00:35:00,17:10:00,01:40:00,
1,2024-01-04 00:00:00,2024-01-04 00:00:00,ja,,540,SUPER-DEPOT 3,BTST9353,Schkeuditz / Leipzig 1,,,Verladen + PGI,,,21,19:00:00,18:40:00,18:50:00,19:10:00,00:10:00,00:20:00,19:15:00,00:35:00,
1,2024-01-04 00:00:00,2024-01-04 00:00:00,nein,1000448470,600,Duisburg 4,5E77329,3202683050 / 3202683051 / 3202683073,Erledigt,,Verladen + PGI,80,ok,35,10:00:00,09:15:00,12:25:00,12:45:00,03:10:00,00:20:00,13:00:00,03:45:00,"Trailer defekt, musste nach HEG"
1,2024-01-03 00:00:00,2024-01-04 00:00:00,nein,1000448474,180,Großbeeren 2,5E77197,3202683056 / 3202683057 / 3202683070 / 3202622223,Erledigt,,Verladen + PGI,80,ok,23,11:00:00,12:05:00,1904-01-13 00:00:00,12:30:00,1904-01-12 11:55:00,1903-12-20 12:30:00,15:40:00,03:35:00,LS 3202622223 wurde gekürtzt 
1,2024-01-03 00:00:00,2024-01-04 00:00:00,nein,1000448728,180,Hamburg 2,7E13643,3202683058 / 3202683071,Erledigt,,Verladen + PGI,80,ok,16,11:00:00,09:40:00,10:30:00,10:40:00,00:50:00,00:10:00,10:45:00,01:05:00,
1,2024-01-04 00:00:00,2024-01-04 00:00:00,nein,1000448492,180,Langenbach 2,7E32779,3202683052 / 3202683053 / 3202477129,Erledigt,,Verladen + PGI,80,ok,22,12:00:00,14:40:00,14:55:00,15:10:00,00:15:00,00:15:00,15:20:00,00:40:00,
1,2024-01-04 00:00:00,2024-01-04 00:00:00,nein,1000448490,420,Hannover 2,5E92564,3202683054 / 3202683055 / 3202683072,Erledigt,,Verladen + PGI,80,ok,35,12:00:00,11:10:00,11:40:00,12:00:00,00:30:00,00:20:00,12:05:00,00:55:00,
1,2024-01-04 00:00:00,2024-01-04 00:00:00,nein,1000448494,540,Mainz 2,7E25977,3202494586 / 3202494587 / 3202494588 / 3202387987,Erledigt,,Verladen + PGI,80,ok,40,13:00:00,11:20:00,11:35:00,11:55:00,00:15:00,00:20:00,12:05:00,00:45:00,
1,2024-01-05 00:00:00,2024-01-05 00:00:00,nein,,540,SUPER-DEPOT 1,BTST9342,Gärtringen / Stuttgart 1,,,Verladen + PGI,,,5,16:00:00,15:15:00,15:45:00,15:50:00,00:30:00,00:05:00,15:55:00,00:40:00,
1,2024-01-05 00:00:00,2024-01-05 00:00:00,nein,,540,SUPER-DEPOT 2,BTST9352,Gärtringen / Stuttgart 2,,,Verladen + PGI,,,18,17:00:00,16:30:00,16:35:00,16:50:00,00:05:00,00:15:00,17:00:00,00:10:00,
1,2024-01-05 00:00:00,2024-01-05 00:00:00,nein,,540,SUPER-DEPOT 3,BTST9341,Gärtringen / Stuttgart 3,,,Verladen + PGI,,,6,17:00:00,16:30:00,16:40:00,16:55:00,00:10:00,00:15:00,17:00:00,00:05:00,
1,2024-01-05 00:00:00,2024-01-05 00:00:00,nein,,540,SUPER-DEPOT 4,BTST9359,Schkeuditz / Leipzig 1,,,Verladen + PGI,,,24,18:00:00,17:30:00,17:50:00,18:05:00,00:20:00,00:15:00,18:15:00,1903-12-31 23:55:00,
1,2024-01-05 00:00:00,2024-01-05 00:00:00,nein,,540,SUPER-DEPOT 5,BTST9360,Schkeuditz / Leipzig 2,,,Verladen + PGI,,,32,19:00:00,17:15:00,17:50:00,18:35:00,00:35:00,00:45:00,18:40:00,01:25:00,
1,2024-01-05 00:00:00,2024-01-05 00:00:00,nein,,540,SUPER-DEPOT 6,BTST9343,Schkeuditz / Leipzig 3,,,Verladen + PGI,,,19,20:00:00,18:15:00,18:30:00,18:45:00,00:15:00,00:15:00,18:50:00,1904-01-01 00:00:00,
1,2024-01-05 00:00:00,2024-01-05 00:00:00,nein,1000448471,240,Duisburg 5,5E82371,3202683590 / 3202683591,Erledigt,,Verladen + PGI,80,ok,38,10:00:00,09:05:00,09:20:00,09:40:00,00:15:00,00:20:00,09:45:00,00:40:00,
1,2024-01-05 00:00:00,2024-01-05 00:00:00,nein,1000448472,420,Duisburg 6,7E32779,3202683592,Erledigt,,Verladen + PGI,80,ok,33,10:00:00,08:00:00,08:35:00,09:00:00,00:35:00,00:25:00,09:10:00,01:10:00,
1,2024-01-05 00:00:00,2024-01-05 00:00:00,Ja,1000448475,540,Großbeeren 3,5E92651,3202683593 / 3202683594,Erledigt,,Verladen + PGI,80,ok,37,11:00:00,10:35:00,10:45:00,11:10:00,00:10:00,00:25:00,11:15:00,00:40:00,
1,2024-01-05 00:00:00,2024-01-05 00:00:00,Ja,1000448729,540,Hamburg 3,5E77276,3202648473 / 3202648474,Erledigt,,Verladen + PGI,80,ok,34,11:00:00,10:30:00,10:35:00,11:10:00,00:05:00,00:35:00,11:15:00,00:45:00,
2,08.01.24,08.01.24,Nein,,480,SUPER-DEPOT 1,BTST9341,Gärtringen / Stuttgart 1,,,Verladen + PGI,,,12,16:00:00,16:50:00,17:15:00,17:30:00,00:25:00,00:15:00,17:35:00,00:45:00,Dokumente 16:20
2,08.01.24,09.01.24,,,480,SUPER-DEPOT 2,BTST9351,Gärtringen / Stuttgart 2,,,Verladen + PGI,,,33,23:30:00,10:35:00,,,1903-12-31 13:25:00,00:00:00,,1903-12-31 13:25:00,Dokumente 18:10
2,08.01.24,08.01.24,Nein,,480,SUPER-DEPOT 3,BTST9353,Gärtringen / Stuttgart 3,,,Verladen + PGI,,,7,21:00:00,18:05:00,19:40:00,19:55:00,01:35:00,00:15:00,20:00:00,01:55:00,Dokumente 19:30
2,08.01.24,08.01.24,Ja,,480,SUPER-DEPOT 4,BTST9343,Schkeuditz / Leipzig 1,,,Verladen + PGI,,,6,23:30:00,17:30:00,17:35:00,17:45:00,00:05:00,00:10:00,17:50:00,00:20:00,
2,08.01.24,09.01.24,,,480,SUPER-DEPOT 5,BTST9352,Schkeuditz / Leipzig 2,,,Verladen + PGI,,,14,23:00:00,10:15:00,11:10:00,11:25:00,00:55:00,00:15:00,11:40:00,1903-12-31 23:20:00,Dokumente 18:10
2,08.01.24,09.01.24,,,480,SUPER-DEPOT 6,BTST9343,Schkeuditz / Leipzig 3,,,Verladen + PGI,,,19,17:00:00,10:20:00,11:30:00,11:55:00,01:10:00,00:25:00,12:10:00,1903-12-31 23:15:00,Dokumente 18:10
2,2024-01-09 00:00:00,2024-01-09 00:00:00,Nein,,480,SUPER-DEPOT 1,BTST9359,Gärtringen / Stuttgart 1,,,Verladen + PGI,,,26,16:30:00,16:50:00,17:00:00,17:20:00,00:10:00,00:20:00,17:25:00,00:10:00,
2,2024-01-09 00:00:00,2024-01-09 00:00:00,Ja,,480,SUPER-DEPOT 2,BTST9353,Gärtringen / Stuttgart 2,,,Verladen + PGI,,,25,17:00:00,16:55:00,17:05:00,17:25:00,00:10:00,00:20:00,17:30:00,00:35:00,
2,2024-01-09 00:00:00,2024-01-09 00:00:00,Ja,,480,SUPER-DEPOT 3,BTST9360,Schkeuditz / Leipzig 1,,,Verladen + PGI,,,25,19:00:00,19:15:00,19:20:00,19:35:00,00:05:00,00:15:00,19:40:00,00:25:00,
