Auto.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Echtzeit vom Büro,Echtzeit vom Büro.1,Echtzeit vom Büro.2,Auto..1,Auto. ,Echtzeit vom Büro.3,Unnamed: 17,Unnamed: 18
KW,Geplantes Ankunftsdatum lt Liste DHL,Ist Datum,SCI,Lenkzeit,Soure Location,LS Nummern,Status,Anzahl Paletten,Arrival Monitor ,SCI OTM,Ankunft Office,Entladung gestartet ,Entladung beendet ,Wartezeit bis Entladebeginn   ,Entladungszeit  ,Unloaded at Bayreuth (Documents finished),Bemerkungen( bei Shuttle SKU),
nn,dd.mm.yy,dd.mm.yy,10000xxxxx,in Minuten,Schreibe,Schreibe,Auswahlliste,nn,80,ok,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,Schreibe,
2,09.01.24,09.01.24,1000449817,120,Pecs 2,4300935772 / 9185134235 4200214508 / 9185133556,Eingelagert,30 / 3,ok,ok,16:20:00,16:40:00,17:00:00,00:20:00,00:20:00,17:05:00,,00:40:00
2,2024-01-10 00:00:00,2024-01-10 00:00:00,,,Shuttle HEG 1,3202645282,Eingelagert,6,,,06:30:00,06:40:00,06:45:00,00:10:00,00:05:00,,,
2,2024-01-10 00:00:00,2024-01-10 00:00:00,,540,Gizeh 2,186905703,Eingelagert,34,,,06:40:00,06:55:00,07:25:00,00:15:00,00:30:00,07:30:00,,00:45:00
2,2024-01-10 00:00:00,2024-01-10 00:00:00,,,Shuttle LC 1,9185163778,Eingelagert,33,ok,,07:20:00,07:25:00,07:40:00,00:05:00,00:15:00,,SKU 10186065 / 10188935,
2,2024-01-10 00:00:00,2024-01-10 00:00:00,,,Shuttle LC 2,9185167598,Eingelagert,33,ok,,08:30:00,08:35:00,08:50:00,00:05:00,00:15:00,,SKU 10186065 / 10188935,
2,2024-01-10 00:00:00,2024-01-10 00:00:00,,,Shuttle LC 3,9185164036,Eingelagert,33,ok,,09:20:00,09:30:00,09:45:00,00:10:00,00:15:00,,SKU 10186065,
2,2024-01-10 00:00:00,2024-01-10 00:00:00,,,Krage Potsdam,3202682362,Eingelagert,1,,,10:25:00,10:26:00,10:27:00,00:01:00,00:01:00,,,00:02:00
2,2024-01-10 00:00:00,2024-01-10 00:00:00,,,Shuttle LC 4,9185188830,Eingelagert,33,ok,,10:45:00,10:50:00,11:10:00,00:05:00,00:20:00,,SKU 10186065 / 10186211 / 10188561,
2,2024-01-10 00:00:00,2024-01-10 00:00:00,1000449836,300,Pecs 3,4300935771 / 9185128512,Eingelagert,33,ok,ok,11:45:00,12:05:00,12:35:00,00:20:00,00:30:00,12:35:00,,00:50:00
2,2024-01-10 00:00:00,2024-01-10 00:00:00,1000449789,300,Pecs 4,4300935943 / 9185121629,Eingelagert,34,ok,ok,11:50:00,12:10:00,12:30:00,00:20:00,00:20:00,12:45:00,,00:40:00
