"plz","ort","bundesland","landkreis","lon","lat"
"04720","Döbeln","Sachsen","Landkreis Mittelsachsen",13.11667,51.11667
"04736","Waldheim","Sachsen","Landkreis Mittelsachsen",13.01667,51.06667
"04741","Roßwein","Sachsen","Landkreis Mittelsachsen",13.18333,51.06667
"04746","Hartha","Sachsen","Landkreis Mittelsachsen",12.98333,51.1
"04749","Ostrau","Sachsen","Landkreis Mittelsachsen",13.16667,51.21667
"04758","Oschatz","Sachsen","Landkreis Nordsachsen",13.11667,51.3
"04769","Mügeln","Sachsen","Landkreis Nordsachsen",13.05,51.23333
"04774","Dahlen","Sachsen","Landkreis Nordsachsen",12.98333,51.36667
"04779","Wermsdorf","Sachsen","Landkreis Nordsachsen",12.93333,51.28333
"04808","Wurzen","Sachsen","Landkreis Leipzig",12.73333,51.36667
"04821","Brandis","Sachsen","Landkreis Leipzig",12.61667,51.33333
"04824","Beilrode","Sachsen","Landkreis Nordsachsen",13.01667,51.56667
"04827","Machern","Sachsen","Landkreis Leipzig",12.63333,51.35
"0.1909","Frankenthal","Sachsen","Landkreis Bautzen",14.1,51.15
"04838","Eilenburg","Sachsen","Landkreis Nordsachsen",12.63333,51.46667
"04849","Bad Düben","Sachsen","Landkreis Nordsachsen",12.58333,51.58333
"04860","Torgau","Sachsen","Landkreis Nordsachsen",13.005,51.55944
"04862","Mockrehna","Sachsen","Landkreis Nordsachsen",12.8,51.5
"04874","Belgern-Schildau","Sachsen","Landkreis Nordsachsen",13.11667,51.51667
"04880","Dommitzsch","Sachsen","Landkreis Nordsachsen",12.88333,51.63333
"04886","Arzberg","Sachsen","Landkreis Nordsachsen",13.13333,51.56667
"04889","Schildau","Sachsen","Landkreis Nordsachsen",12.93333,51.45
"04895","Falkenberg/Elster","Brandenburg","Landkreis Elbe-Elster",13.23333,51.58333
"04910","Elsterwerda","Brandenburg","Landkreis Elbe-Elster",13.51667,51.46667
"04916","Herzberg (Elster)","Brandenburg","Landkreis Elbe-Elster",13.23333,51.68333
"04924","Bad Liebenwerda","Brandenburg","Landkreis Elbe-Elster",13.4,51.51667
"04928","Schraden","Brandenburg","Landkreis Elbe-Elster",13.6,51.43333
"04931","Mühlberg/Elbe","Brandenburg","Landkreis Elbe-Elster",13.21667,51.43333
"04932","Gröden","Brandenburg","Landkreis Elbe-Elster",13.56667,51.41667
"04934","Hohenleipisch","Brandenburg","Landkreis Elbe-Elster",13.55,51.48333
"04936","Schlieben","Brandenburg","Landkreis Elbe-Elster",13.38333,51.71667
"04938","Uebigau-Wahrenbrück","Brandenburg","Landkreis Elbe-Elster",13.31667,51.56667
"06108","Halle (Saale)","Sachsen-Anhalt","Kreisfreie Stadt Halle (Saale)",11.96667,51.48333
"06110","Halle (Saale)","Sachsen-Anhalt","Kreisfreie Stadt Halle (Saale)",11.96667,51.48333
"06112","Halle (Saale)","Sachsen-Anhalt","Kreisfreie Stadt Halle (Saale)",11.96667,51.48333
"06114","Halle (Saale)","Sachsen-Anhalt","Kreisfreie Stadt Halle (Saale)",11.96667,51.48333
"06116","Halle (Saale)","Sachsen-Anhalt","Kreisfreie Stadt Halle (Saale)",11.96667,51.48333
"06118","Halle (Saale)","Sachsen-Anhalt","Kreisfreie Stadt Halle (Saale)",11.96667,51.48333
"06120","Halle (Saale)","Sachsen-Anhalt","Kreisfreie Stadt Halle (Saale)",11.96667,51.48333
"06122","Halle (Saale)","Sachsen-Anhalt","Kreisfreie Stadt Halle (Saale)",11.96667,51.48333
"06124","Halle (Saale)","Sachsen-Anhalt","Kreisfreie Stadt Halle (Saale)",11.96667,51.48333
"06126","Halle (Saale)","Sachsen-Anhalt","Kreisfreie Stadt Halle (Saale)",11.96667,51.48333
"06128","Halle (Saale)","Sachsen-Anhalt","Kreisfreie Stadt Halle (Saale)",11.96667,51.48333
"06130","Halle (Saale)","Sachsen-Anhalt","Kreisfreie Stadt Halle (Saale)",11.96667,51.48333
"06132","Halle (Saale)","Sachsen-Anhalt","Kreisfreie Stadt Halle (Saale)",11.96667,51.48333
"06179","Teutschenthal","Sachsen-Anhalt","Saalekreis",11.78333,51.45
"06184","Kabelsketal","Sachsen-Anhalt","Saalekreis",12.11667,51.45
"06186","Petersberg","Sachsen-Anhalt","Saalekreis",11.9,51.6
"06188","Landsberg","Sachsen-Anhalt","Saalekreis",12.16667,51.51667
"06193","Wettin-Löbejün","Sachsen-Anhalt","Saalekreis",11.81667,51.63333
"06198","Wettin","Sachsen-Anhalt","Saalekreis",11.81667,51.58333
"06217","Merseburg","Sachsen-Anhalt","Saalekreis",12,51.35
"06231","Bad Dürrenberg","Sachsen-Anhalt","Saalekreis",12.06667,51.3
"06237","Leuna","Sachsen-Anhalt","Saalekreis",12.01667,51.31667
"06242","Braunsbedra","Sachsen-Anhalt","Saalekreis",11.9,51.28333
