"plz","ort","bundesland","landkreis","lon","lat"
"06773","Gräfenhainichen","Sachsen-Anhalt","Landkreis Wittenberg",12.45,51.73333
"06774","Tornau v d Heide","Sachsen-Anhalt","Landkreis Wittenberg",12.51667,51.68333
"06780","Zörbig","Sachsen-Anhalt","Landkreis Anhalt-Bitterfeld",12.11667,51.61667
"06785","Oranienbaum-Wörlitz","Sachsen-Anhalt","Landkreis Wittenberg",12.4,51.8
"06792","Sandersdorf-Brehna","Sachsen-Anhalt","Landkreis Anhalt-Bitterfeld",12.23333,51.53333
"06794","Sandersdorf-Brehna","Sachsen-Anhalt","Landkreis Anhalt-Bitterfeld",12.23333,51.53333
"06800","Sandersdorf-Brehna","Sachsen-Anhalt","Landkreis Anhalt-Bitterfeld",12.23333,51.53333
"06808","Sandersdorf-Brehna","Sachsen-Anhalt","Landkreis Anhalt-Bitterfeld",12.23333,51.53333
"06842","Dessau-Roßlau","Sachsen-Anhalt","Kreisfreie Stadt Dessau-Roßlau",12.24472,51.83833
"06844","Dessau-Roßlau","Sachsen-Anhalt","Kreisfreie Stadt Dessau-Roßlau",12.24472,51.83833
"06846","Dessau-Roßlau","Sachsen-Anhalt","Kreisfreie Stadt Dessau-Roßlau",12.24472,51.83833
"06847","Dessau-Roßlau","Sachsen-Anhalt","Kreisfreie Stadt Dessau-Roßlau",12.24472,51.83833

... (9162 more lines)
