ID,CreatedTimestamp,CreatedBy,UpdatedTimestamp,UpdatedBy,SapOrderNumber,SSCC,Printer,Copies,Status,ErrorText,DangerousGoodsUNNumber,DangerousGoodsWeight,LabelTemplate
6679,2022-10-18T15:44:21.3430666+00:00,Christian Hammann,,,3202189986,340313000110366278,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6680,2022-10-18T15:44:54.4185458+00:00,Christian Hammann,,,3202189986,340313000110366339,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6681,2022-10-18T15:45:49.3766335+00:00,Christian Hammann,,,3202189986,140313001112816927,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6682,2022-10-18T15:46:29.1882047+00:00,Christian Hammann,,,3202189986,140313001112817009,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6683,2022-10-18T15:47:01.5001576+00:00,Christian Hammann,,,3202189986,140313001112816996,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6684,2022-10-18T15:47:23.0607958+00:00,Christian Hammann,,,3202189986,140313001112816989,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6685,2022-10-18T15:47:48.6389217+00:00,Christian Hammann,,,3202189986,140313001112816972,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6686,2022-10-18T15:48:17.3770353+00:00,Christian Hammann,,,3202189986,140313001112816965,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6687,2022-10-18T15:48:35.5740858+00:00,Christian Hammann,,,3202189986,140313001112816958,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6688,2022-10-18T15:48:54.7335559+00:00,Christian Hammann,,,3202189986,140313001112816941,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6689,2022-10-18T15:49:22.2155656+00:00,Christian Hammann,,,3202189986,140313001112816934,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6690,2022-10-18T15:50:33.8530941+00:00,Christian Hammann,,,3202189986,140313001112824311,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6691,2022-10-18T15:50:58.5586034+00:00,Christian Hammann,,,3202189986,140313001112824328,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6692,2022-10-18T15:51:33.7167407+00:00,Christian Hammann,,,3202189986,340313001610007845,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6693,2022-10-18T15:52:19.8886543+00:00,Christian Hammann,,,3202189986,340313001610007852,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6694,2022-10-18T15:52:58.3365709+00:00,Christian Hammann,,,3202189986,140313001112817030,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6695,2022-10-18T15:54:13.7892674+00:00,Christian Hammann,,,3202189986,140313001112817023,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6696,2022-10-18T15:58:51.4018585+00:00,Maximilian Kolb,,,3202191025,140313001112792757,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6697,2022-10-18T17:05:33.8015720+00:00,Maximilian Kolb,,,3202191030,140313001112810017,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6698,2022-10-18T17:05:51.0081993+00:00,Maximilian Kolb,,,3202191030,140313001112810024,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
