SapOrderNumber,ItemNumber,KVP,Outers,CorrespondingCartons,CorrespondingOuters,CorrespondingPackages,PackagesPerOuter,InternationalArticleNumberForOuter,MaterialNumber,ParentItemNumber,InternationalArticleNumberForMastercase,OuterPerMastercase,CorrespondingMastercases,CorrespondingPallets,MastercasePerPallet,VolumeInMTQ,MaterialGroup,MaterialType,TPDIndicator,OUT,VolInThKg,PlannedDate,IsReturnDelivery,IsDeleted
3202235763,000230,104.0,20,1,0,0,8,4031300296851,10186786,,4031300297247,20,1,0,42,0.032149000000000004,,,,,,03.11.2023,False,False
3202235763,000240,108.0,64,4,0,0,12,4031300297940,10187107,,4031300298428,16,4,0,48,0.11412399999999999,,,,,,03.11.2023,False,False
3202235763,000250,78.0,25,1,0,0,10,4031300296219,10187148,,4031300296394,25,1,0,42,0.029541,,,,,,03.11.2023,False,False
3202235763,000260,96.0,100,5,0,0,8,4031300297957,10179951,,4031300298435,20,5,0,42,0.160745,,,,,,03.11.2023,False,False
3202235763,000270,108.0,48,3,0,0,12,4031300297889,10187080,,4031300298367,16,3,0,48,0.08559299999999999,,,,,,03.11.2023,False,False
3202235763,000280,78.0,25,1,0,0,10,4031300296172,10187129,,4031300296356,25,1,0,42,0.029541,,,,,,03.11.2023,False,False
3202235763,000290,96.0,60,3,0,0,8,4031300297902,10187140,,4031300298381,20,3,0,42,0.096447,,,,,,03.11.2023,False,False
3202235763,000300,78.0,50,2,0,0,10,4031300296134,10186598,,4031300296318,25,2,0,42,0.059082,,,,,,03.11.2023,False,False
3202235763,000310,108.0,64,4,0,0,12,4031300297735,10187106,,4031300298213,16,4,0,48,0.11412399999999999,,,,,,03.11.2023,False,False
3202235763,000320,58.5,175,7,0,0,3,4031300297834,10189149,,4031300298312,25,7,0,49,0.210875,,,,,,03.11.2023,False,False
3202235763,000330,99.0,80,4,0,0,6,4031300297803,10189159,,4031300298282,20,4,0,42,0.12859600000000002,,,,,,03.11.2023,False,False
3202235763,000340,96.0,140,7,0,0,8,4031300297780,10186615,,4031300298268,20,7,0,42,0.143941,,,,,,03.11.2023,False,False
3202235763,000350,78.0,100,4,0,0,10,4031300296097,10186592,,4031300296271,25,4,0,42,0.118164,,,,,,03.11.2023,False,False
3202235763,000360,108.0,128,8,0,0,12,4031300297575,10186224,,4031300298053,16,8,0,48,0.283176,,,,,,03.11.2023,False,False
3202235763,000370,96.0,100,5,0,0,8,4031300297636,10186587,,4031300298114,20,5,0,42,0.160745,,,,,,03.11.2023,False,False
3202235763,000380,78.0,25,1,0,0,10,4031300295199,10178580,,4031300295618,25,1,0,42,0.029541,,,,,,03.11.2023,False,False
3202235763,000390,82.0,400,16,0,0,10,4031300295298,10178602,,4031300295717,25,16,0,56,0.421696,,,,,,03.11.2023,False,False
3202235763,000400,82.0,50,2,0,0,10,4031300295311,10178603,,4031300295731,25,2,0,56,0.055062,,,,,,03.11.2023,False,False
3202235763,000410,82.0,50,1,0,0,10,4031300295250,10178614,,4031300295670,50,1,0,21,0.0669,,,,,,03.11.2023,False,False
3202235763,000420,82.0,200,8,0,0,10,4031300295335,10178619,,4031300295755,25,8,0,56,0.220248,,,,,,03.11.2023,False,False
3202235763,000430,80.0,20,1,0,0,8,4031300293591,10173495,,4031300293614,20,1,0,42,0.0314,,,,,,03.11.2023,False,False
3202235763,000440,80.0,20,1,0,0,8,4031300298008,10179954,,4031300298480,20,1,0,42,0.030125,,,,,,03.11.2023,False,False
3202235764,000010,29.0,150,6,0,0,10,4031300279953,10170734,,4031300279991,25,6,0,36,0.23679467999999998,,,,,,03.11.2023,False,False
3202235764,000020,29.0,225,9,0,0,10,4031300279939,10170724,,4031300279977,25,9,0,36,0.35519202,,,,,,03.11.2023,False,False
