Deliv. date(From/to),Name of the ship-to party,Sold-To Party,Delivery,Name,K&N Transportklasse,Zentrale Lieferstelle,Actual delivery qty,Gesamtgewicht Order,Kosten Picking Bayreuth,K&N_Kosten,TransportkostenLastMile_Fix_Kg_Preis,Paletten,Cases,Outers,Packs,Free of charge,Transportkosten
2024-01-08,Noris Tabak & Convenience GmbH &Co.,52381017,3202683373,Noris Tabak & Convenience GmbH,175.0,Nein,1.2,41.111999999999995,33.72,15.8932,7.0465968,0,12,24,0,False,61.73
2024-01-08,Paul Schmidt GmbH,50033801,3202683372,Paul Schmidt GmbH,200.0,Nein,0.03,1.053,2.31,3.3322000000000003,0.18048419999999998,0,0,3,0,False,48.23
2024-01-08,Tabacon Tabakwaren,50033751,3202683363,Tabacon Tabakwaren GmbH & Co. KG NL Berlin,20.0,Nein,0.78,17.78,5.08,5.2652,3.047492,0,4,0,0,False,27.0
2024-01-08,Tabacos Tabakwaren-Vertriebs-GmbH,50034993,3202683382,Tabacos Tabakwaren Vertriebs-GmbH,100.0,Nein,1.96,70.584,59.21,21.6716,12.098097600000001,0,6,67,0,False,57.88
2024-01-08,Tabacos Tabakwaren-Vertriebs-GmbH,50034993,3202683388,Tabacos Tabakwaren Vertriebs-GmbH,100.0,Nein,0.02,0.538,1.54,3.1068000000000002,0.09221320000000001,0,0,2,0,False,38.58
2024-01-08,Tabakwaren Union Barkow GmbH,50034190,3202683341,Tabakwaren Union Barkow GmbH,40.0,Nein,3.05,118.18700000000001,52.699999999999996,21.7297,20.257251800000002,0,13,47,0,False,55.95
2024-01-08,Tabakwaren Union GmbH&CO.KG,50034705,3202683369,Tabakwaren Union GmbH&CO.KG,125.0,Nein,0.484,9.495999999999999,6.890000000000001,5.5145,1.6276144000000001,0,3,4,0,False,42.44
2024-01-08,Tobacco Candy World GmbH,53706548,3202683396,Tobacco Candy World GmbH,40.0,Tabacos_AWB Tabakwaren,0.01,0.88,1.54,3.1068000000000002,0.150832,0,0,2,0,False,27.0
2024-01-08,Uwe Kaiser GmbH,50034536,3202683362,Uwe Kaiser GmbH,40.0,Tabacos_AWB Tabakwaren,0.275,8.875,23.1,9.418,1.521175,0,0,30,0,False,27.0
2024-01-08,Wagro Tabakw.Ph.Wagner Nf.,50034030,3202683381,Wagro Tabakw.Ph.Wagner Nf.,30.0,Nein,0.96,26.69,21.479999999999997,10.626999999999999,4.574666000000001,0,6,18,0,False,27.0
2024-01-08,Wilfried Ebeling,50034024,3202683366,Wilfried Ebeling,50.0,Tabacos_AWB Tabakwaren,0.01,0.351,0.77,2.8814,0.0601614,0,0,1,0,False,27.0
2024-01-08,Willbold Kempten GmbH & Co. KG,50034794,3202683371,Willbold Kempten GmbH & Co. KG,200.0,Nein,0.54,23.164,13.32,7.1162,3.9703096,0,2,14,0,False,57.88
2024-01-08,Wolf Tabakwaren e.K.,50034540,3202683365,Wolf Tabakwaren e.K.,200.0,Tabacos_AWB Tabakwaren,0.174,4.7669999999999995,16.17,7.3894,0.8170638,0,0,21,0,False,48.23
2024-01-08,Wolf Tabakwaren e.K.,50034839,3202683374,Wolf Tabakwaren e.K.,175.0,Tabacos_AWB Tabakwaren,0.125,3.21,10.01,5.5862,0.5501940000000001,0,0,13,0,False,48.23
2024-01-08,tobaccoland Automatenges.mbH&Co.KG,50035004,3202683384,tobaccoland Automatenges.mbH&Co.KG,40.0,Nein,0.18,6.318,13.86,6.7132,1.0829052,0,0,18,0,False,27.0
