;PlannedDate;Picks Karton;Picks Stangen;Picks Paletten;PickDurationMinutes_Karton;PickDurationSeconds_Karton;PickDurationMinutes_Stangen;PickDurationSeconds_Stangen;PickDurationMinutes_Palette;PickDurationSeconds_Palette;PickDurationMinutes_Other;PicksPerMinute_Karton;PicksPerSeconds_Karton;PicksPerMinute_Palette;PicksPerSeconds_Palette;PicksPerMinute_Stangen;PicksPerSeconds_Stangen
0;2022-09-02 00:00:00+00:00;140.0;0.0;0.0;133.68333333333334;8021.0;0.0;0.0;0.0;0.0;0.0;1.047250966213689;0.01745418277022815;;;;
1;2022-09-05 00:00:00+00:00;1483.0;419.0;24.0;1286.95;77217.0;224.88333333333335;13493.0;62.16666666666667;3730.0;0.0;1.152336920626287;0.019205615343771448;0.38605898123324395;0.006434316353887399;1.8631883198695618;0.0310531386644927
2;2022-09-06 00:00:00+00:00;1116.0;552.0;26.0;1009.7;60582.0;207.01666666666665;12421.0;58.0;3480.0;10.666666666666666;1.1052787956818857;0.01842131326136476;0.4482758620689655;0.007471264367816092;2.666451976491426;0.0444408662748571
3;2022-09-07 00:00:00+00:00;867.0;424.0;26.0;868.65;52119.0;232.78333333333333;13967.0;53.7;3222.0;0.0;0.9981005007770679;0.016635008346284466;0.48417132216014896;0.008069522036002483;1.8214362425717763;0.030357270709529604
4;2022-09-08 00:00:00+00:00;812.0;151.0;19.0;537.6333333333333;32258.0;85.81666666666666;5149.0;47.95;2877.0;0.0;1.5103230206460414;0.025172050344100687;0.39624608967674657;0.006604101494612443;1.7595649640706934;0.029326082734511556
5;2022-09-09 00:00:00+00:00;1032.0;676.0;14.0;856.9333333333333;51416.0;259.0333333333333;15542.0;13.149999999999999;789.0;0.0;1.2042943830714175;0.02007157305119029;1.0646387832699622;0.017743979721166033;2.6097027409599796;0.04349504568266632
6;2022-09-12 00:00:00+00:00;1705.0;303.0;36.0;1517.4833333333333;91049.0;158.11666666666667;9487.0;103.9;6234.0;0.0;1.123570824501093;0.018726180408351546;0.34648700673724736;0.005774783445620789;1.916306524718035;0.03193844207863392
7;2022-09-13 00:00:00+00:00;1245.0;268.0;28.0;1198.8666666666666;71932.0;142.65;8559.0;93.08333333333334;5585.0;0.0;1.0384807874103321;0.017308013123505533;0.3008057296329454;0.005013428827215756;1.8787241500175254;0.03131206916695876
8;2022-09-14 00:00:00+00:00;1635.0;485.0;52.0;1452.8166666666666;87169.0;273.41666666666663;16405.0;180.73333333333335;10844.0;0.0;1.1254000848925652;0.01875666808154275;0.28771670970121727;0.004795278495020288;1.7738494361475163;0.029564157269125268
9;2022-09-15 00:00:00+00:00;803.0;319.0;29.0;692.5833333333334;41555.0;331.9166666666667;19915.0;103.39999999999999;6204.0;0.0;1.1594272650703885;0.019323787751173143;0.28046421663442944;0.004674403610573823;0.9610846095907607;0.01601807682651268
10;2022-09-16 00:00:00+00:00;1454.0;294.0;51.0;1218.7666666666667;73126.0;161.2;9672.0;175.71666666666667;10543.0;0.0;1.1930093263681865;0.019883488772803107;0.2902399696481077;0.004837332827468462;1.8238213399503724;0.030397022332506202
11;2022-09-19 00:00:00+00:00;1630.0;574.0;42.0;1321.6499999999999;79299.0;315.18333333333334;18911.0;146.4;8784.0;0.0;1.2333068512843794;0.02055511418807299;0.28688524590163933;0.0047814207650273225;1.8211622864999206;0.030352704774998678
12;2022-09-20 00:00:00+00:00;1884.0;1449.0;42.0;1368.0166666666667;82081.0;593.3166666666666;35599.0;130.9;7854.0;10.75;1.3771762039936162;0.022952936733226934;0.32085561497326204;0.0053475935828877;2.4422034326806936;0.04070339054467822
13;2022-09-21 00:00:00+00:00;2250.0;739.0;77.0;1491.8500000000001;89511.0;431.25;25875.0;269.4;16164.0;10.0;1.5081945235781076;0.02513657539296846;0.2858203414996288;0.004763672358327147;1.713623188405797;0.02856038647342995
14;2022-09-22 00:00:00+00:00;1134.0;212.0;39.0;874.5500000000001;52473.0;144.81666666666666;8689.0;96.61666666666666;5797.0;0.0;1.2966668572408666;0.021611114287347778;0.40365706399862;0.006727617733310333;1.4639198987225228;0.024398664978708712
15;2022-09-23 00:00:00+00:00;1322.0;599.0;28.0;823.0333333333333;49382.0;307.2166666666667;18433.0;64.65;3879.0;0.0;1.6062532906727147;0.02677088817787858;0.4331013147718484;0.007218355246197474;1.9497640101990992;0.032496066836651655
16;2022-09-26 00:00:00+00:00;2031.0;501.0;93.0;1447.8166666666666;86869.0;265.15;15909.0;259.98333333333335;15599.0;10.0;1.4028019201326136;0.023380032002210224;0.357715238156292;0.005961920635938201;1.8894965114086368;0.03149160852347728
17;2022-09-27 00:00:00+00:00;1516.0;1319.0;24.0;1104.1666666666667;66250.0;624.85;37491.0;81.53333333333333;4892.0;31.966666666666665;1.3729811320754717;0.02288301886792453;0.294358135731807;0.004905968928863451;2.110906617588221;0.035181776959803686
18;2022-09-28 00:00:00+00:00;2114.0;401.0;59.0;1489.1666666666667;89350.0;203.29999999999998;12198.0;134.86666666666667;8092.0;0.0;1.4195858981533296;0.02365976496922216;0.4374691052891745;0.007291151754819575;1.972454500737826;0.032874241678963766
19;2022-09-29 00:00:00+00:00;1222.0;200.0;57.0;865.0666666666666;51904.0;116.33333333333333;6980.0;177.8;10668.0;0.0;1.4126078914919853;0.023543464858199754;0.3205849268841395;0.005343082114735658;1.7191977077363898;0.02865329512893983
